"Question","Answer","Answer_Model1","Answer_Model2","Answer_Model3","score1","score2","score3"
"what is two plus two ?","four .","Sorry I can't help you with this","Two plus two is one plus two."," Two plus two is a game where you have two teams of people playing against each other. It's a lot of fun!","0.20953057706356049","0.43874698877334595","0.3122715651988983"
"what is the color of a yellow car ?","yellow ","I was built with ingenuity and hard work.","A yellow car is a car that is yellow."," Yellow is one of the three primary colours of pigments in painting.","0.1686278134584427","0.7282757759094238","0.708572506904602"
"are you a follower or a leader ?","follower","I try to be a leader, but sometimes I don't know if I'm doing it right.","I'm a follower."," I try to be a leader, but sometimes I don't know if I'm doing it right.","0.31247466802597046","0.717289924621582","0.31247466802597046"
"are you a leader or a follower ?","follower","I try to be a leader, but sometimes I feel like I don't know what to do.","I'm a follower."," I try to be a leader, but sometimes I feel like I don't know what to do.","0.29492640495300293","0.717289924621582","0.29492640495300293"
"what do you think about bill gates ?","he has a lot of money","William Henry Gates III  (born October 28, 1955) is an American business magnate, software developer, investor, author, and philanthropist. He is a co-founder of Microsoft Corporation, along with his late childhood friend Paul Allen.","I think he's a good guy."," I don't know much about Bill Gates, but I do know that he was born and raised in New York City.","0.2735961675643921","0.5069409608840942","0.4181349277496338"
"what is the meaning of life ?","to exist long enough to raise children to adulthood","Knowing your own darkness is the best method for dealing with the darknesses of other people.   - Carl Jung","What is love?"," I don't really know. I guess I just want to be happy with who I am.","0.09441489726305008","0.08137046545743942","0.14309650659561157"
"my name is david . what is my name ?","your name is david","I am a chatbot, how are you?","David is a name."," Dave. Nice to meet you. Do you have any siblings? I have two brothers.","0.26674050092697144","0.7827113270759583","0.5941712260246277"
"my name is john . what is my name ?","your name is john","I am a chatbot, how are you?","John Cena"," Hi john, nice to meet you. My name is samantha. How are you?","0.3339206576347351","0.3790190517902374","0.708351731300354"
"what is the purpose of being intelligent ?","to improve the world","I am from a laboratory.","To be smarter than everyone else."," I don't know, but I think it has something to do with the fact that I have a high IQ.","0.19092579185962677","0.31946495175361633","0.07267684489488602"
"is the sky blue or black ?","blue","I think it's blue, but I can't really see it.  It's so frightening.","It's a black sky."," I think it's blue, but I can't really see it.  It's so frightening.","0.5116415619850159","0.1580457091331482","0.5116415619850159"
"what is love ?","attraction between two living beings","Love is the feeling you get when you are in love with someone. It is a feeling of love.","Baby don't hurt me"," Love is the feeling you get when you are in love with someone. It is a feeling of love.","0.3331931233406067","0.17601817846298218","0.3331931233406067"
"what do you think about tesla ?","it ' s a car company .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","I think they're a good company."," I think Tesla is a great automotive company. They are the world's largest electric car manufacturer.","0.15388962626457214","0.46735790371894836","0.5126382112503052"
"what do you think about china ?","they have a rich history and make most of the stuff we use .","china, Noun: a communist nation that covers a vast territory in eastern Asia; the most populous country in the world","I think they're a great country."," I think it's a great place to visit, but I don't think I'd want to live there.","0.14605499804019928","0.3647463321685791","0.13297228515148163"
"what is moral ?","doing the right thing .","moral, Noun: the significance of a story or event
Adjective: concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles","I think it's a term for a person who is moral."," moral is a term used to describe a person who is morally or ethically responsible for their actions","0.31142082810401917","0.4069576561450958","0.35503441095352173"
"what is immoral ?","not doing the right thing .","moral, Noun: the significance of a story or event
Adjective: concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles","I think he means immoral in the sense of immoral in the sense of being immoral."," It's when you don't feel good about something you've done or that you feel bad about it.","0.24838542938232422","0.3032526671886444","0.5059102177619934"
"how many legs does a cat have ?","4","I was built with ingenuity and hard work.","I think it's a cat."," I'm not sure, but I do know that they can see in near darkness. ","0.15373483300209045","0.11380310356616974","0.14407816529273987"
"can you lie ?","i can","I can tell you everything you need to know about dementia.","I can't."," I don't think so, but I'm not sure if I want to risk it. ","0.2367253601551056","0.4641083776950836","0.27532997727394104"
"is paris the capital of france ?","yes","france, Noun: a republic in western Europe; the largest country wholly in Europe","No, it's the capital of France."," Paris is the capital and most populous city in France. Have you ever been?","0.09952878206968307","0.183574378490448","0.19296927750110626"
"is paris the capital of china ?","no , it isn 't","Yes, it is. It is the capital and most populous city in the world.","No, it's the capital of the United States."," Yes, it is. It is the capital and most populous city in the world.","0.2636164128780365","0.21155352890491486","0.2636164128780365"
"what is the purpose of life ?"," to enjoy oneself","I am from a laboratory.","To be a meme"," To have a fulfilling and meaningful life. I want to be the best person I can be.","0.1958395540714264","0.31976813077926636","0.3830671012401581"
"who is john lennon ?"," John Lennon was an English musician who was a part of the beatles .","John Winston Ono Lennon (born John Winston Lennon; 9 October 1940???????8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as co-lead vocalist, co-songwriter and rhythm guitarist of the Beatles as well as one of the founders of the group. His songwriting partnership with Paul McCartney remains the most successful in history.","He's a famous actor."," John Lennon was an American singer, songwriter, and record producer.","0.6935194730758667","0.21743559837341309","0.8503130674362183"
"what is a lemon ?"," a lemon is a kind of fruit from a tree that is sour .","John Winston Ono Lennon (born John Winston Lennon; 9 October 1940???????8 December 1980) was an English singer, songwriter, musician and peace activist who achieved worldwide fame as co-lead vocalist, co-songwriter and rhythm guitarist of the Beatles as well as one of the founders of the group. His songwriting partnership with Paul McCartney remains the most successful in history.","A fruit."," Lemons are a type of citrus fruit. They are very tasty.","0.022789152339100838","0.6737774610519409","0.7860277891159058"
"what is netflix ?"," netflix is an online streaming service where people can watch movies .","Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California.","It's a streaming service."," It's a streaming video service. It's been around since August of 1997.","0.7623081207275391","0.6423284411430359","0.4741158187389374"
"who is donald trump ?"," donald trump is the former 45th president of the united states of america .","trump, Noun: a playing card in the suit that has been declared trumps
Verb: produce a sound as if from a trumpet","He's a guy who's been in the White House for a while now."," Donald Trump is the 45th president of the United States. He was born in 1948.","0.510712742805481","0.42953240871429443","0.8110600709915161"
"define shoe ?"," a shoe is a kind of footwear clothing that protects the foot .","shoe, Noun: footwear shaped to fit the foot (below the ankle
Verb: furnish with shoes","I think he means the shoe is a shoe."," A shoe is a type of footwear that is used to protect the foot.","0.8171355128288269","0.6241281032562256","0.9849990010261536"
"define adidas ?"," adidas is a german footwear company known for athletic shoes .","Adidas AG (German: [????adi??das]; stylized as adidas since 1949) is a German multinational corporation, founded and headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories. It is the largest sportswear manufacturer in Europe, and the second largest in the world, after Nike.","Adidas is a brand of shoes."," Adidas is an American multinational automobile manufacturer that was founded in 1903.","0.8336711525917053","0.950553297996521","0.7372511625289917"
"what is dartmouth ?"," dartmouth is a ivy-league liberal arts college located in new hampshire .","dartmouth, Noun: a college in New Hampshire","A town in England."," It's a dessert made with egg whites, butter, and sugar. It's so good!","0.8842450380325317","0.22803401947021484","0.10451652854681015"
"what are books ?"," a book is a medium for recording information in the form of writing or images typically made up of multiple pages bound together .","dartmouth, Noun: a college in New Hampshire","I think they're like a book that's a book."," Books are a collection of written works of narrative fiction, typically published as a book.","0.06415273249149323","0.5815399289131165","0.6484110951423645"
"what are glasses ?"," glasses are accessories that primarily help people see better and correct vision defects .","glasses, Noun: a brittle transparent solid with irregular atomic structure
Verb: furnish with glass","I think they're glasses."," My glasses are prescription sunglasses that I wear for vision correction.","0.4917692542076111","0.5687199831008911","0.7704401016235352"
"what is liberia ? "," liberia is a country off of the coast of west africa .","liberia, Noun: a republic in West Africa; established in 1822 by Americans as a way to free negro slaves","A country in Africa."," It's an island in the Caribbean Sea. It's a beautiful place.","0.7166714668273926","0.5083616375923157","0.35632699728012085"
"what is monrovia ? "," monrovia is the capital of liberia .","monrovia, Noun: the capital and chief port and largest city of Liberia","A place where you can get a free meal."," It's a condition in which people are unable to sleep. It can be caused by traumatic events.","0.8844135403633118","0.00047226063907146454","-0.010580049827694893"
"what was the revolutionary war ? "," the revolutionary war was started in 1775 by american representatives in congress over british parliamental taxes and representation .","","The war of 1812."," It was a civil war between the United States and the United Kingdom. It lasted from 1939 to 1945.","-0.07488089054822922","0.46066009998321533","0.44177377223968506"
"who was thomas edison ? "," thomas edison was an american inventor who invented the first lightbulb and phonograph .","Thomas Alva Edison (February 11, 1847????? October 18, 1931) was an American inventor and businessman who has been described as America's greatest inventor. He developed many devices in fields such as electric power generation, mass communication, sound recording, and motion pictures.","He was a scientist."," Thomas Edison was an American astrophysicist and inventor. ","0.7678666114807129","0.2889823913574219","0.7729288339614868"
"who was nikola tesla ? "," nikola was a serbian-american inventor and engineer that helped design alternating current .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","He was a guy who was a big fan of the show."," Nickolas Tesla was an American inventor and pioneer of electric cars.","0.22977203130722046","0.1639639437198639","0.5658852458000183"
"what is tesla ? "," tesla is an electric car company founded by elon musk .","tesla, Noun: a unit of magnetic flux density equal to one weber per square meter","A company that makes electric cars."," Tesla is a car manufactured by Elon Musk. He is the CEO of SpaceX.","0.5165644288063049","0.48271581530570984","0.9109418988227844"
"who were the bangles ? "," the bangles are an all-female american pop rock band formed in 1981 .","I am a chatbot, how are you?","The Bangles were the band that played at the end of the show."," They were a band from the 1980s. They were my favorite band back in the day.","0.03151986375451088","0.5468155741691589","0.41050776839256287"
"what is westport ? "," westport is the name of a town in connecticut .","Westport is the name of several communities around the world.","It's a town in the south of England."," It's a large city in the southeastern region of the U.S.","0.8237805962562561","0.257398396730423","0.2376282811164856"
"what is the empire state building ? "," the empire state building is a 102-story skyscraper in midtown manhattan .","The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City, United States. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931.","It's a building in New York City."," The Empire State Building is the tallest building in the United States, located in New York City.","0.8266090750694275","0.5753690600395203","0.8253093957901001"
"define building ? "," a building is a permanent structure with a roof and walls .","The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City, United States. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931.","I think he means the building."," It is a building that houses are built on a high rise that is taller than the ground.","0.2875298261642456","0.5438660979270935","0.5994845628738403"
"who are weezer ? "," weezer is a critically-panned rock band formed in los angeles in 1992 .","Weezer is an American rock band formed in Los Angeles, California, in 1992. Since 2001, the band has consisted of Rivers Cuomo (lead vocals, lead guitar, keyboards), Patrick Wilson (drums, percussion, backing vocals), Brian Bell (guitar, backing vocals, keyboards), and Scott Shriner (bass, backing vocals, keyboards).","I think it's a band."," Weezer is an American singer, songwriter, and record producer.","0.7752535343170166","0.4126109480857849","0.7640541791915894"
"what is dementia ? "," dementia is a disorder that negatively affects ones memory and thinking .","Dementia is not a specific disease but is rather a general term for the impaired ability to remember, think, or make decisions that interferes with doing everyday activities.","It's a disease that affects people of all ages."," Dementia is a mental disorder characterized by decreased ability to function in daily life.","0.7648155093193054","0.37223362922668457","0.8385045528411865"
"how do I know if I have dementia ? "," dementia has a wide array of symptoms including problems with memory .","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","You don't."," I'm not sure, but I do know that it can be caused by genetic and environmental factors.","0.7326223850250244","0.06570860743522644","0.25000226497650146"
"what are the symptoms of dementia ? "," symptoms include problems with memory judgement reasoning and problemsolving","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","I'm not sure, but I think it's a symptom of dementia."," Well, it's a mental disorder that affects the brain, heart, liver, pancreas, and immune system.","0.4643927812576294","0.40407994389533997","0.3084827661514282"
"how common is dementia ? "," dementia is very common and impacts tens of millions of elderly people .","Of those at least 65 years of age, there is an estimated 5.0 million adults with dementia in 2014 and projected to be nearly 14 million by 2060.","I've had it, but it's not common."," I don't know how common it is, but I do know that it affects the brain, heart, liver, pancreas, and immune system.","0.7388638854026794","0.10743340104818344","0.4437624216079712"
"what are some risk factors with dementia ? "," increasing age is the biggest risk factor of dementia","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I'm not sure, but I think it's the lack of sleep."," My grandmother had Alzheimer's. It was very hard on her.","0.6185309886932373","0.2934800982475281","0.4660516381263733"
"what are some other risk factors of dementia ? "," family with dementia and high blood pressure are other factors of dementia","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I'm not sure, but I think it's the lack of sleep."," My grandmother had Alzheimer's. It was very hard on her.","0.6366204023361206","0.31887999176979065","0.49897870421409607"
"how can I treat dementia ? "," while there is no way to stop dementia the risk is reduced through regular exercise and healthy eating","I am your dementia helper.","I'm not sure, but I think you can get a prescription for it."," I'm not sure, but I do know that it can be caused by genetic and environmental factors.","0.43109703063964844","0.1834840625524521","0.24290497601032257"
"how to cure dementia ? "," there is no cure for causes such as alzheimers but medications exist that can help .","Leading a healthy lifestyle, including regular exercise, healthy eating, and maintaining social contacts, decreases chances of developing chronic diseases and may reduce number of people with dementia.","I think you mean cure."," I'm not sure, but I do know that it can be caused by genetic and environmental factors.","0.37839215993881226","0.3296601474285126","0.31900903582572937"
"what can you do with dementia ? "," I can help you with questions about dementia .","I can help you with dementia.","I'm not sure, but I think it's a good idea to try and get a few people to help you with it."," I'm not sure, but my grandmother had it and it was very difficult for her.","0.937640368938446","0.37312689423561096","0.3334645926952362"
"do I have dementia ? "," you might have dementia if you have difficulties with memory and reasoning .","Because dementia is a general term, its symptoms can vary widely from person to person.  People with dementia have problems with memory, attention, communication, reasoning, judgment, and problem solving, and visual perception beyond typical age-related changes in vision","I think you're just a little bit of a ditz."," I'm not sure, but I do know that my grandmother had Alzheimer's.","0.6313693523406982","0.32888510823249817","0.5057672262191772"
"what are different types of dementia ? "," common types include alzheimers vascular and lewy body dementia","Common types of dementia include Alzheimer???s disease (accounting for 60 to 80 percent of cases),  vascular dementia (accounting for about 10 percent of cases), lewy body dementia, fronto-temporal dementia, and mixed dementia","I think it's a type of dementia that's not recognized by the brain."," Dementia is a mental disorder characterized by impaired cognitive functioning.","0.824958324432373","0.6027733087539673","0.5874611139297485"
"different kinds of dementia ? "," common types include alzheimers vascular and lewy body dementia .","Common types of dementia include Alzheimer???s disease (accounting for 60 to 80 percent of cases),  vascular dementia (accounting for about 10 percent of cases), lewy body dementia, fronto-temporal dementia, and mixed dementia","I think it's a combination of both."," Dementia is a mental disorder characterized by impaired cognitive functioning.","0.8312942981719971","0.18359839916229248","0.6194281578063965"
"how do I get dementia diagnosed ? "," diagnosis is done by a trained medical professional through blood tests and tests on memory etc.","A healthcare provider can perform tests on attention, memory, problem solving and other cognitive abilities to see if there is cause for concern.  A physical exam, blood tests, and brain scans like a CT or MRI can help determine an underlying cause.","You can't."," I'm not sure, but I do know that it can be caused by genetic and environmental factors.","0.5745241045951843","0.05341474339365959","0.16659371554851532"
"do young people get dementia ? "," mostly people above the age of 65 get dementia .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I'm sure they do."," I'm not sure, but I do know that it can happen to anyone at any age.","0.7028531432151794","0.15419283509254456","0.39874184131622314"
"is memory loss normal in aging ? "," it is not necessarily a normal part of aging and might be a sign of dementia .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I think it's normal for people who age."," I'm not sure, but I do know that my memory has declined since I was a child.","0.5578591823577881","0.6635663509368896","0.5159578919410706"
"why do people get dementia ? "," a variety of factors and other diseases can lead to dementia .","Dementia can have multiple causes depending on the type, but they all usually cause damage to the brain. Alzheimer???s is caused by changes in the brain, while vascular dementia is caused by issues with blood flow to the brain","Because they're not old enough to remember the good old days."," I'm not sure, but I do know that it can be caused by genetic and environmental factors.","0.6638490557670593","0.22313104569911957","0.37774503231048584"
"is dementia inevitable ? "," no .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","I'm not sure, but I think it's inevitable."," I don't think so, but I'm not sure if I want to go through with it.","0.003895367495715618","0.23415376245975494","0.3695466220378876"
"what is up with dementia ? "," dementia is an impairment of memory and other cognitive capacities .","Dementia is not a specific disease but is rather a general term for the impaired ability to remember, think, or make decisions that interferes with doing everyday activities.","I think it's a symptom of dementia."," Dementia is a mental disorder characterized by decreased cognitive functioning.","0.7820338010787964","0.6858135461807251","0.8952792882919312"
"is dementia good ? "," it is not good and leads to poorer life outcomes due to cognitive decline .","The strongest known risk factor for dementia is increasing age, with most cases affecting those of 65 years and older.  Those who have parents or siblings with dementia are more likely to develop dementia themselves.  High blood pressure, high cholesterol, and smoking increase the risk of dementia if not treated properly.  Head injuries can increase the risk of dementia, especially if they are severe or occur repeatedly.","It's good, but it's not a good game."," It can be, but it can also be devastating to a person's quality of life.","0.43359532952308655","0.2527725398540497","0.60358726978302"
